file_id,lexical_richness,syntactic_richness,semantic_accuracy_n,semantic_accuracy_v,semantic_accuracy_n_v,semantic_accuracy_c,semantic_richness_n,semantic_clarity_n,semantic_noise_n
夜兰_0,5.145092012566981,2.183789953823018,4.717391304347826,9.335,7.88013698630137,7.892682926829268,0.11572327044025156,0.028772378516624036,5.7847460757156055
夜兰_1,5.206145906685275,2.216017670291905,4.648936170212766,8.820224719101123,7.3786764705882355,7.4961439588688945,0.11928934010152288,0.03780687397708674,6.256803095061769
夜兰_2,5.174677218213408,2.221962589848227,4.738738738738738,8.797814207650273,7.26530612244898,7.247395833333333,0.14158163265306112,0.06756756756756757,23.274127423822726
夜兰_3,5.2368863475733605,2.1799511903613427,4.968421052631579,8.685714285714285,7.377777777777778,7.158602150537634,0.12242268041237112,0.07032163742690058,27.690980181234046
大慈树王_0,4.903388452731983,2.205697439537391,4.32,8.93288590604027,7.080321285140562,6.760683760683761,0.13054830287206268,0.07076923076923078,8.608288048714684
女士_0,5.144512808363743,2.2471362138216247,4.56043956043956,8.0,6.767716535433071,6.855153203342619,0.11276332094175959,0.02946329033285555,9.354719329182362
妮露_0,5.049132791553899,2.1997151188529336,3.79,9.123456790123457,7.087786259541985,7.252777777777778,0.13227513227513232,0.08214285714285714,13.197735687682874
妮露_1,4.965604145272158,2.207581035057159,3.632183908045977,8.233766233766234,6.572614107883817,6.837349397590361,0.11600000000000006,0.13869731800766283,24.037963683116118
妮露_2,5.003402967553007,2.2063704126507084,6.35064935064935,9.488095238095237,8.50204081632653,8.711640211640212,0.09565217391304347,0.0838961038961039,15.200425136845297
娜维娅_0,4.9822548544095175,2.1851568555210887,4.438202247191011,9.468354430379748,7.65587044534413,7.707865168539326,0.11803713527851457,0.04102826012938373,12.324445295948012
娜维娅_1,5.1150302894377795,2.227125518517725,4.616822429906542,9.142011834319527,7.38768115942029,7.451948051948052,0.13896103896103898,0.07994443041172013,38.32079329149235
娜维娅_10,5.033250604517297,2.213242076732303,4.057471264367816,8.803680981595091,7.152,7.305232558139535,0.11284046692607001,0.048965517241379306,5.9508958866506925
娜维娅_11,5.221901867319226,2.231358819599718,4.568181818181818,9.491620111731844,7.868913857677903,8.040214477211796,0.1115335868187579,0.031168831168831172,11.74649256235808
娜维娅_12,5.088898048497094,2.191769708951146,4.65,9.233333333333333,7.823076923076923,7.734015345268542,0.10088272383354352,0.07025862068965517,16.144889716694447
娜维娅_13,5.077009691722315,2.2027952921675573,6.764705882352941,9.047619047619047,8.325581395348838,8.416666666666666,0.08706786171574904,0.1090971272229822,14.221166005540162
娜维娅_14,5.279500017442181,2.1970028162412136,5.011363636363637,9.179487179487179,7.676229508196721,7.342342342342342,0.12809315866084428,0.030303030303030304,7.3520558989518925
娜维娅_2,5.1524235527705775,2.2040631186022464,4.21505376344086,10.372549019607844,8.044715447154472,8.11111111111111,0.12046632124352333,0.06816436251920122,14.198153351966022
娜维娅_3,5.019560693490529,2.1813278788041703,3.6470588235294117,8.902439024390244,7.362068965517241,8.203488372093023,0.08596713021491781,0.05429864253393664,13.05265810027714
娜维娅_4,5.151891336313559,2.1950176099664302,5.202247191011236,8.960893854748603,7.712686567164179,7.718579234972678,0.11633986928104577,0.0710197159211363,10.29561537530048
娜维娅_5,5.066628335745928,2.220199441000262,5.011627906976744,9.017751479289942,7.666666666666667,7.44141689373297,0.11286089238845148,0.0522235822113423,10.511953958754036
娜维娅_6,5.119839172642555,2.2105986665407937,4.333333333333333,8.7875,7.150197628458498,7.480113636363637,0.12635869565217392,0.05913978494623655,16.298156389065465
娜维娅_7,4.917444891335912,2.2179665714546593,4.930555555555555,8.458823529411765,7.409090909090909,7.543543543543543,0.09230769230769231,0.035555555555555556,5.259203891196426
娜维娅_8,5.030913012708314,2.2229726316901623,5.103092783505154,8.407185628742514,7.193181818181818,7.1076487252124645,0.13072776280323448,0.0967353951890034,17.13207171770178
娜维娅_9,5.124441566192282,2.1922562588872823,5.336538461538462,8.425287356321839,7.26978417266187,7.248587570621469,0.14305364511691884,0.09038461538461538,24.93857927786499
安柏_0,5.1000203859124875,2.1810985298209147,3.871794871794872,9.125786163522013,6.898550724637682,7.096514745308311,0.15,0.03878205128205129,10.255635046453897
安柏_1,5.1760781005116785,2.1612861812289315,3.3043478260869565,9.359281437125748,7.2084942084942085,7.199453551912568,0.12169312169312169,0.01811594202898552,4.5263429752066076
希格雯_0,5.1348022341094675,2.198695022090522,5.193548387096774,9.774869109947645,8.274647887323944,8.592682926829267,0.11509900990099009,0.038378825475599676,9.989554611790084
希格雯_1,4.944281502323517,2.239568372597522,5.011111111111111,9.46242774566474,7.93916349809886,7.991891891891892,0.11494252873563218,0.08,8.950645957323271
戴因斯雷布_0,5.037091052981751,2.191291386618263,4.645833333333333,8.335365853658537,6.973076923076923,7.168571428571428,0.12598425196850394,0.07620614035087718,14.151189429152616
戴因斯雷布_1,5.100970611421568,2.1653437681767227,3.757575757575758,8.609375,6.1461538461538465,6.338983050847458,0.18333333333333332,0.042041292041292054,11.731689794088942
戴因斯雷布_2,5.081339171326811,2.193358682537463,3.664,9.172413793103448,6.869565217391305,7.2569269521410575,0.1596424010217113,0.04395180722891566,11.038090990432277
戴因斯雷布_3,5.21206777285829,2.1767540255223574,3.6315789473684212,8.054545454545455,6.438461538461539,6.533519553072626,0.1266666666666667,0.02821637426900584,6.77244855974605
戴因斯雷布_4,5.18857700113441,2.1817179623632263,4.262626262626263,8.567901234567902,6.934865900383142,7.050139275766017,0.13451086956521738,0.056421356421356414,19.240544219869893
戴因斯雷布_5,5.185927185371292,2.2302247069749814,5.1066666666666665,8.974619289340101,7.908088235294118,7.865633074935401,0.09881422924901187,0.04971751412429378,16.536755430718586
戴因斯雷布_6,5.138105893156819,2.170562757104609,4.636363636363637,8.538461538461538,7.023529411764706,7.104683195592287,0.1323529411764706,0.026118326118326117,4.924536826149454
托马_0,5.075713952153278,2.18988850148416,3.5135135135135136,8.18562874251497,6.320143884892087,6.8264248704663215,0.14471968709256844,0.03033916269210387,4.937713759002642
